"Month","Year","Export Country","Export Values","Commodity"
"May","2020","Vietnam",77268.3,"Cotton, Ex Linters"
"May","2020","Pakistan",37521.8,"Cotton, Ex Linters"
"May","2020","China",74579.9,"Cotton, Ex Linters"
"May","2020","Turkey",28446.7,"Cotton, Ex Linters"
"May","2020","Bangladesh",8316.9,"Cotton, Ex Linters"
"May","2020","Indonesia",8256.9,"Cotton, Ex Linters"
"May","2020","Mexico",1280.6,"Cotton, Ex Linters"
"May","2020","Thailand",8373.2,"Cotton, Ex Linters"
"May","2020","South Korea",7007.5,"Cotton, Ex Linters"
"May","2020","India",1641.5,"Cotton, Ex Linters"
"May","2020","World total",269484.5,"Cotton, Ex Linters"
"June","2020","Vietnam",69133.1,"Cotton, Ex Linters"
"June","2020","China",104846.4,"Cotton, Ex Linters"
"June","2020","Pakistan",32043.8,"Cotton, Ex Linters"
"June","2020","Turkey",48303.6,"Cotton, Ex Linters"
"June","2020","Bangladesh",21020.8,"Cotton, Ex Linters"
"June","2020","Indonesia",9998.9,"Cotton, Ex Linters"
"June","2020","Mexico",4559.3,"Cotton, Ex Linters"
"June","2020","South Korea",6916.5,"Cotton, Ex Linters"
"June","2020","Thailand",5837.2,"Cotton, Ex Linters"
"June","2020","India",1283.2,"Cotton, Ex Linters"
"June","2020","World total",318745.2,"Cotton, Ex Linters"
"July","2020","Vietnam",86837.3,"Cotton, Ex Linters"
"July","2020","China",142710.7,"Cotton, Ex Linters"
"July","2020","Pakistan",25651.1,"Cotton, Ex Linters"
"July","2020","Turkey",33994.4,"Cotton, Ex Linters"
"July","2020","Bangladesh",13858.4,"Cotton, Ex Linters"
"July","2020","Indonesia",11069.5,"Cotton, Ex Linters"
"July","2020","Mexico",8558.9,"Cotton, Ex Linters"
"July","2020","South Korea",5369.4,"Cotton, Ex Linters"
"July","2020","Thailand",5481.8,"Cotton, Ex Linters"
"July","2020","India",2654.7,"Cotton, Ex Linters"
"July","2020","World total",354760.3,"Cotton, Ex Linters"
"August","2020","Vietnam",45374.9,"Cotton, Ex Linters"
"August","2020","China",152332.1,"Cotton, Ex Linters"
"August","2020","Pakistan",13135.2,"Cotton, Ex Linters"
"August","2020","Turkey",22734.8,"Cotton, Ex Linters"
"August","2020","Bangladesh",15831,"Cotton, Ex Linters"
"August","2020","Indonesia",15001.6,"Cotton, Ex Linters"
"August","2020","Mexico",10498.4,"Cotton, Ex Linters"
"August","2020","Thailand",5409.5,"Cotton, Ex Linters"
"August","2020","South Korea",2205.7,"Cotton, Ex Linters"
"August","2020","India",4762.6,"Cotton, Ex Linters"
"August","2020","World total",309960.6,"Cotton, Ex Linters"
"September","2020","China",80271.1,"Cotton, Ex Linters"
"September","2020","Vietnam",40120.4,"Cotton, Ex Linters"
"September","2020","Pakistan",9916.7,"Cotton, Ex Linters"
"September","2020","Turkey",8912.2,"Cotton, Ex Linters"
"September","2020","Bangladesh",9008.1,"Cotton, Ex Linters"
"September","2020","Indonesia",12619,"Cotton, Ex Linters"
"September","2020","Mexico",13557.4,"Cotton, Ex Linters"
"September","2020","Thailand",3602.2,"Cotton, Ex Linters"
"September","2020","South Korea",2829.2,"Cotton, Ex Linters"
"September","2020","India",4739.6,"Cotton, Ex Linters"
"September","2020","World total",201172.8,"Cotton, Ex Linters"
"October","2020","China",113086.7,"Cotton, Ex Linters"
"October","2020","Vietnam",39931.2,"Cotton, Ex Linters"
"October","2020","Pakistan",22669.7,"Cotton, Ex Linters"
"October","2020","Turkey",9823.3,"Cotton, Ex Linters"
"October","2020","Bangladesh",14933.4,"Cotton, Ex Linters"
"October","2020","Indonesia",13029.1,"Cotton, Ex Linters"
"October","2020","Mexico",13143.3,"Cotton, Ex Linters"
"October","2020","Thailand",2877.5,"Cotton, Ex Linters"
"October","2020","South Korea",3430.4,"Cotton, Ex Linters"
"October","2020","India",5769.2,"Cotton, Ex Linters"
"October","2020","World total",260094.3,"Cotton, Ex Linters"
"November","2020","China",135037.2,"Cotton, Ex Linters"
"November","2020","Vietnam",30385.6,"Cotton, Ex Linters"
"November","2020","Pakistan",43468.5,"Cotton, Ex Linters"
"November","2020","Turkey",10273,"Cotton, Ex Linters"
"November","2020","Bangladesh",14311.3,"Cotton, Ex Linters"
"November","2020","Indonesia",7106.7,"Cotton, Ex Linters"
"November","2020","Mexico",12215.3,"Cotton, Ex Linters"
"November","2020","Thailand",3064.3,"Cotton, Ex Linters"
"November","2020","South Korea",1472,"Cotton, Ex Linters"
"November","2020","India",8578.1,"Cotton, Ex Linters"
"November","2020","World total",289303.1,"Cotton, Ex Linters"
"December","2020","China",163348.7,"Cotton, Ex Linters"
"December","2020","Vietnam",35537.1,"Cotton, Ex Linters"
"December","2020","Pakistan",34672.2,"Cotton, Ex Linters"
"December","2020","Turkey",11792.3,"Cotton, Ex Linters"
"December","2020","Bangladesh",12310.2,"Cotton, Ex Linters"
"December","2020","Indonesia",6169.5,"Cotton, Ex Linters"
"December","2020","Mexico",12485.1,"Cotton, Ex Linters"
"December","2020","Thailand",2233.8,"Cotton, Ex Linters"
"December","2020","South Korea",2884.7,"Cotton, Ex Linters"
"December","2020","India",4002.7,"Cotton, Ex Linters"
"December","2020","World total",310241.9,"Cotton, Ex Linters"
